location,year,age,gender,value
High-middle SDI,2008,15-49,female,23.42573196297952
High-middle SDI,2009,15-49,female,22.41021231723985
High-middle SDI,2010,15-49,female,21.81566723897633
High-middle SDI,2011,15-49,female,20.469552172756543
High-middle SDI,2012,15-49,female,19.33724723402636
High-middle SDI,2013,15-49,female,18.72777907649524
High-middle SDI,2014,15-49,female,18.278961838182024
High-middle SDI,2015,15-49,female,17.617342398830925
High-middle SDI,2016,15-49,female,17.13731621587433
High-middle SDI,2017,15-49,female,16.708691507956612
High-middle SDI,2018,15-49,female,16.53936333095177
High-middle SDI,2019,15-49,female,16.31870874087984
High-middle SDI,2020,15-49,female,15.881773366656244
High-middle SDI,2021,15-49,female,15.734798257650652
High SDI,1990,15-49,female,14.152856048235888
High SDI,1991,15-49,female,14.162772636987263
High SDI,1992,15-49,female,14.03191811453517
High SDI,1993,15-49,female,14.07928519471938
High SDI,1994,15-49,female,14.051875410647035
High SDI,1995,15-49,female,14.031916306242394
High SDI,1996,15-49,female,13.996099974903537
High SDI,1997,15-49,female,13.74473474727952
High SDI,1998,15-49,female,13.490764886325932
High SDI,1999,15-49,female,13.490174746410847
High SDI,2000,15-49,female,13.330784585259762
High SDI,2001,15-49,female,13.255594832466572
High SDI,2002,15-49,female,13.18660233562978
High SDI,2003,15-49,female,13.068014802127715
High SDI,2004,15-49,female,12.748820429920372
High SDI,2005,15-49,female,12.563179943892663
High SDI,2006,15-49,female,12.256771884659267
High SDI,2007,15-49,female,11.949891076870369
High SDI,2008,15-49,female,11.70437875794954
High SDI,2009,15-49,female,11.41942279281197
High SDI,2010,15-49,female,11.008674341255956
High SDI,2011,15-49,female,10.760636316509109
High SDI,2012,15-49,female,10.450019233448575
High SDI,2013,15-49,female,10.23930479419073
High SDI,2014,15-49,female,10.12216787709026
High SDI,2015,15-49,female,10.114903441242136
High SDI,2016,15-49,female,10.13948786030164
High SDI,2017,15-49,female,10.020974007387856
High SDI,2018,15-49,female,9.958519129034793
High SDI,2019,15-49,female,9.84728116623814
High SDI,2020,15-49,female,9.658697438098692
High SDI,2021,15-49,female,9.525488605980124
Low SDI,1990,5-14,female,3.491473449402056
Low SDI,1991,5-14,female,3.506470007636944
Low SDI,1992,5-14,female,3.5468176364915287
Low SDI,1993,5-14,female,3.5265931845309915
Low SDI,1994,5-14,female,3.522208702263925
Low SDI,1995,5-14,female,3.4872271351891144
Low SDI,1996,5-14,female,3.347694362149081
Low SDI,1997,5-14,female,3.233537037085727
Low SDI,1998,5-14,female,3.1476717327238646
Low SDI,1999,5-14,female,3.1130094468578537
Low SDI,2000,5-14,female,3.114111784730202
Low SDI,2001,5-14,female,3.0113903164912097
Low SDI,2002,5-14,female,2.845497882671836
Low SDI,2003,5-14,female,2.7523813211617307
Low SDI,2004,5-14,female,2.728556802013806
Low SDI,2005,5-14,female,2.753621596772096
Low SDI,2006,5-14,female,2.7150761062790085
Low SDI,2007,5-14,female,2.5758798705482477
Low SDI,2008,5-14,female,2.4228332906450447
Low SDI,2009,5-14,female,2.276102473878136
Low SDI,2010,5-14,female,2.1615706194724247
Low SDI,2011,5-14,female,2.1462274320608983
Low SDI,2012,5-14,female,2.1504035237514723
Low SDI,2013,5-14,female,2.121808999351988
Low SDI,2014,5-14,female,2.09312118775225
Low SDI,2015,5-14,female,2.080333532414372
Low SDI,2016,5-14,female,2.0557509406105625
Low SDI,2017,5-14,female,2.004694107707204
Low SDI,2018,5-14,female,1.9056685927916508
Low SDI,2019,5-14,female,1.8422618201843304
Low SDI,2020,5-14,female,1.7965992114326776
Low SDI,2021,5-14,female,1.723684194168177
Low-middle SDI,1990,5-14,female,4.468215582363203
Low-middle SDI,1991,5-14,female,4.284921852653112
Low-middle SDI,1992,5-14,female,4.273930356650936
Low-middle SDI,1993,5-14,female,4.27529133477866
Low-middle SDI,1994,5-14,female,4.257883864905459
Low-middle SDI,1995,5-14,female,4.211728750135501
Low-middle SDI,1996,5-14,female,4.056783856803423
Low-middle SDI,1997,5-14,female,3.898618994621111
Low-middle SDI,1998,5-14,female,3.790275876162382
Low-middle SDI,1999,5-14,female,3.728637336581573
Low-middle SDI,2000,5-14,female,3.586940442447609
Low-middle SDI,2001,5-14,female,3.447631395963197
Low-middle SDI,2002,5-14,female,3.230677682895124
Low-middle SDI,2003,5-14,female,3.0350999893067674
Low-middle SDI,2004,5-14,female,2.9571717411671776
Low-middle SDI,2005,5-14,female,3.0270697455693343
Low-middle SDI,2006,5-14,female,3.0033343276592253
Low-middle SDI,2007,5-14,female,2.917268323478561
Low-middle SDI,2008,5-14,female,2.8380628978959632
Low-middle SDI,2009,5-14,female,2.760375458289166
Low-middle SDI,2010,5-14,female,2.6444323674814685
Low-middle SDI,2011,5-14,female,2.54313119042547
Low-middle SDI,2012,5-14,female,2.431256068577889
Low-middle SDI,2013,5-14,female,2.3859080535222152
Low-middle SDI,2014,5-14,female,2.354385076235853
Low-middle SDI,2015,5-14,female,2.362676340858216
Low-middle SDI,2016,5-14,female,2.329404066496973
Low-middle SDI,2017,5-14,female,2.234228786548208
Low-middle SDI,2018,5-14,female,2.15315303629065
Low-middle SDI,2019,5-14,female,2.047368834495478
Low-middle SDI,2020,5-14,female,1.9154937746837697
Low-middle SDI,2021,5-14,female,1.839335875126732
Middle SDI,1990,5-14,female,2.720409848663817
Middle SDI,1991,5-14,female,2.662209341053315
Middle SDI,1992,5-14,female,2.641693157192565
Middle SDI,1993,5-14,female,2.569050164188603
Middle SDI,1994,5-14,female,2.513697009191027
Middle SDI,1995,5-14,female,2.492899380971808
Middle SDI,1996,5-14,female,2.437745029374167
Middle SDI,1997,5-14,female,2.3464951346967524
Middle SDI,1998,5-14,female,2.274996349902429
Middle SDI,1999,5-14,female,2.208129072549983
Middle SDI,2000,5-14,female,2.124190360633945
Middle SDI,2001,5-14,female,2.0535720710195635
Middle SDI,2002,5-14,female,1.966888795343431
Middle SDI,2003,5-14,female,1.8739566630945268
Middle SDI,2004,5-14,female,1.809099917716404
Middle SDI,2005,5-14,female,1.8004187869586628
Middle SDI,2006,5-14,female,1.7586636711175232
Middle SDI,2007,5-14,female,1.705718059518999
Middle SDI,2008,5-14,female,1.699760636060728
Middle SDI,2009,5-14,female,1.7043287629350543
Middle SDI,2010,5-14,female,1.6644072197547195
Middle SDI,2011,5-14,female,1.6155967421824382
Middle SDI,2012,5-14,female,1.575973007895647
Middle SDI,2013,5-14,female,1.5579987448788082
Middle SDI,2014,5-14,female,1.503348866793612
Middle SDI,2015,5-14,female,1.4353143769400516
Middle SDI,2016,5-14,female,1.3675342783876034
Middle SDI,2017,5-14,female,1.2832795852919017
Middle SDI,2018,5-14,female,1.2495639064126385
Middle SDI,2019,5-14,female,1.209724414484641
Middle SDI,2020,5-14,female,1.0866948054145158
Middle SDI,2021,5-14,female,1.0112170823677793
High-middle SDI,1990,5-14,female,1.694442728049266
High-middle SDI,1991,5-14,female,1.6379716648050298
High-middle SDI,1992,5-14,female,1.5988668958838816
High-middle SDI,1993,5-14,female,1.5705157434220784
High-middle SDI,1994,5-14,female,1.5504139463479407
High-middle SDI,1995,5-14,female,1.5294198988140977
High-middle SDI,1996,5-14,female,1.4724657421517504
High-middle SDI,1997,5-14,female,1.4095313926468194
High-middle SDI,1998,5-14,female,1.3929816443691183
High-middle SDI,1999,5-14,female,1.4034844329543128
High-middle SDI,2000,5-14,female,1.315617693667182
High-middle SDI,2001,5-14,female,1.2658583984146785
High-middle SDI,2002,5-14,female,1.220362862471038
High-middle SDI,2003,5-14,female,1.1648425671290576
High-middle SDI,2004,5-14,female,1.1320712621155171
High-middle SDI,2005,5-14,female,1.0701493430243243
High-middle SDI,2006,5-14,female,1.0018165342712293
High-middle SDI,2007,5-14,female,0.9612809651235696
High-middle SDI,2008,5-14,female,0.9814272013744842
High-middle SDI,2009,5-14,female,1.038624593972298
High-middle SDI,2010,5-14,female,1.0018482548317815
High-middle SDI,2011,5-14,female,0.927211378353614
High-middle SDI,2012,5-14,female,0.8489342123780373
High-middle SDI,2013,5-14,female,0.8092056178864744
High-middle SDI,2014,5-14,female,0.7925101173219969
High-middle SDI,2015,5-14,female,0.7518431033263581
High-middle SDI,2016,5-14,female,0.7254336827820401
High-middle SDI,2017,5-14,female,0.6879260335389521
High-middle SDI,2018,5-14,female,0.6429936827104942
High-middle SDI,2019,5-14,female,0.6136091753048667
High-middle SDI,2020,5-14,female,0.5503177836402373
High-middle SDI,2021,5-14,female,0.5255394558567515
High SDI,1990,5-14,female,0.9875271697529951
High SDI,1991,5-14,female,0.9702567163420664
High SDI,1992,5-14,female,0.9449782840757126
High SDI,1993,5-14,female,0.9300319700973736
High SDI,1994,5-14,female,0.9015130486193992
High SDI,1995,5-14,female,0.8601063323223413
High SDI,1996,5-14,female,0.8328825398924772
High SDI,1997,5-14,female,0.7998274719359314
High SDI,1998,5-14,female,0.7716428467282015
High SDI,1999,5-14,female,0.748333019592568
High SDI,2000,5-14,female,0.7173946094809607
High SDI,2001,5-14,female,0.7086907275968315
High SDI,2002,5-14,female,0.6853117952804044
High SDI,2003,5-14,female,0.6638461938242846
High SDI,2004,5-14,female,0.6359811145753197
High SDI,2005,5-14,female,0.6234410554859386
High SDI,2006,5-14,female,0.6005644921165121
High SDI,2007,5-14,female,0.5816504219918575
High SDI,2008,5-14,female,0.5665238526119376
High SDI,2009,5-14,female,0.5460929119958595
High SDI,2010,5-14,female,0.5114197200054862
High SDI,2011,5-14,female,0.500266416021336
High SDI,2012,5-14,female,0.47335100256856216
High SDI,2013,5-14,female,0.4517329437527944
High SDI,2014,5-14,female,0.4436536575110088
High SDI,2015,5-14,female,0.4428887390752783
High SDI,2016,5-14,female,0.4140754218699773
High SDI,2017,5-14,female,0.4083834072739162
High SDI,2018,5-14,female,0.3984086157561952
High SDI,2019,5-14,female,0.4036113528045292
High SDI,2020,5-14,female,0.3716129106175048
High SDI,2021,5-14,female,0.3672812327668229
Low SDI,1990,50-69,female,643.3623293536044
Low SDI,1991,50-69,female,640.1873901375267
Low SDI,1992,50-69,female,637.7108724107402
Low SDI,1993,50-69,female,634.95693135654
Low SDI,1994,50-69,female,635.3434144931192
Low SDI,1995,50-69,female,634.7999026727222
Low SDI,1996,50-69,female,633.9921750196432
Low SDI,1997,50-69,female,628.2290265365309
Low SDI,1998,50-69,female,624.6758721678581
Low SDI,1999,50-69,female,613.9555877416243
Low SDI,2000,50-69,female,604.373513959933
Low SDI,2001,50-69,female,594.8310708434075
Low SDI,2002,50-69,female,588.1099896202645
Low SDI,2003,50-69,female,578.8423805352127
Low SDI,2004,50-69,female,553.648911702121
Low SDI,2005,50-69,female,535.4059090317428
Low SDI,2006,50-69,female,524.0285329706498
Low SDI,2007,50-69,female,512.0288328861498
Low SDI,2008,50-69,female,503.7503779154277
Low SDI,2009,50-69,female,496.7880202989863
Low SDI,2010,50-69,female,490.0869818772688
Low SDI,2011,50-69,female,490.6868792516648
Low SDI,2012,50-69,female,496.90329793767626
Low SDI,2013,50-69,female,483.54536802152114
Low SDI,2014,50-69,female,486.8688516154879
Low SDI,2015,50-69,female,486.0628019266795
Low SDI,2016,50-69,female,477.75236465194746
Low SDI,2017,50-69,female,466.966394524866
Low SDI,2018,50-69,female,466.2828714454748
Low SDI,2019,50-69,female,460.4541964617777
Low SDI,2020,50-69,female,451.5136216340034
Low SDI,2021,50-69,female,442.7537127009076
Low-middle SDI,1990,50-69,female,595.7858214181634
Low-middle SDI,1991,50-69,female,590.6114770145713
Low-middle SDI,1992,50-69,female,590.2807602724758
Low-middle SDI,1993,50-69,female,587.2239719286797
Low-middle SDI,1994,50-69,female,586.4174632616497
Low-middle SDI,1995,50-69,female,584.1102131957518
Low-middle SDI,1996,50-69,female,584.8183114036337
Low-middle SDI,1997,50-69,female,590.1804064472225
Low-middle SDI,1998,50-69,female,588.7824938919487
Low-middle SDI,1999,50-69,female,572.1514577251721
Low-middle SDI,2000,50-69,female,561.5548874491662
Low-middle SDI,2001,50-69,female,558.8658435749321
Low-middle SDI,2002,50-69,female,552.7278541406909
Low-middle SDI,2003,50-69,female,540.813732158146
Low-middle SDI,2004,50-69,female,521.4375521987889
Low-middle SDI,2005,50-69,female,514.5748308769582
Low-middle SDI,2006,50-69,female,513.0586884879947
Low-middle SDI,2007,50-69,female,507.4681206646925
Low-middle SDI,2008,50-69,female,498.52655574577926
Low-middle SDI,2009,50-69,female,490.9697400478982
Low-middle SDI,2010,50-69,female,488.75614567799954
Low-middle SDI,2011,50-69,female,487.7697044729949
Low-middle SDI,2012,50-69,female,493.8944008999348
Low-middle SDI,2013,50-69,female,484.2015994977044
Low-middle SDI,2014,50-69,female,478.8855798648153
Low-middle SDI,2015,50-69,female,487.54505701910057
Low-middle SDI,2016,50-69,female,488.60757235741727
Low-middle SDI,2017,50-69,female,478.9172116624424
Low-middle SDI,2018,50-69,female,482.1442534045914
Low-middle SDI,2019,50-69,female,475.83571743300257
Low-middle SDI,2020,50-69,female,464.567507923964
Low-middle SDI,2021,50-69,female,453.1472126215289
Middle SDI,1990,50-69,female,521.133949022312
Middle SDI,1991,50-69,female,512.6040050077733
Middle SDI,1992,50-69,female,508.6996874053274
Middle SDI,1993,50-69,female,500.3974177359365
Middle SDI,1994,50-69,female,493.01054851851416
Middle SDI,1995,50-69,female,482.4506747806675
Middle SDI,1996,50-69,female,472.94848479592696
Middle SDI,1997,50-69,female,462.071538789784
Middle SDI,1998,50-69,female,453.9154264230584
Middle SDI,1999,50-69,female,442.3621822691974
Middle SDI,2000,50-69,female,435.2954000159709
Middle SDI,2001,50-69,female,423.49737997577455
Middle SDI,2002,50-69,female,414.7620330143099
Middle SDI,2003,50-69,female,404.1855080459033
